originProductNo,channelProductNo,name,price,stock,status
11374908237,11428285751,LG전자 24MP400 평면 FHD 24인치 모니터 가정용 업무용 게임용 모니터,130000,3,SUSPENSION
11374625278,11428001357,LG전자 22EN430 22EN430H 와이드 평면 FHD 22인치 모니터 가정용 게이밍 모니터,130000,1,SALE
11374545736,11427921481,LG전자 22MR410 FHD 22인치 모니터 가정용 게이밍 모니터,117000,0,OUTOFSTOCK
11341578040,11394860361,LG그램 노트북 사무용 노트북 15Z995 i5-10210U 16G 512G Win11 15Z90N 대체출고,650000,8,SUSPENSION
11341216440,11394497026,고객님 예약상품 Z640,480000,0,OUTOFSTOCK
11329972837,11383213586,LG 55WV70MD 사이니지 DID 패널55인치 광고용모니터 디지털 메뉴판,600000,10,SALE
11328918559,11382154155,LG 47WV30 사이니지 DID 패널 47인치 광고용 모니터 디지털 메뉴판,300000,10,SALE
11325413753,11378639289,PLC 컴퓨터 XP 컴퓨터 산업용 PC 임베디드  디지털 멀티미디어 시스템 키오스크용 컴퓨터,250000,20,SALE
11324910920,11378133958,어댑터 아답터 12V2A 공유기 소형전자기기 가정용 충전기 SGN-1202,4900,1795,SALE
11315203634,11368397089,레노버 정품 전원아답터 20V 8.5A 170W 사각팁 슬림팁 노트북 어댑터,45000,9,SUSPENSION
11315088302,11368281211,레노버 정품 전원아답터 20V 4.5A 90W 사각팁 슬림팁 노트북 어댑터,18000,77,SALE
11314137959,11367326934,삼성전자 소딤 DDR4 25600 3200AA RAM 8GB 노트북용 메모리,20000,0,OUTOFSTOCK
11298878074,11352017857,ASRock IMB-390-L Micro ATX 마더보드 6세대 7세대 메인보드,45000,1,SALE
11298095849,11351231484,카메라 아답타 어댑터 12V 1A  WB-12G12,5000,600,SALE
11289482000,11342591468,기가바이트 GTX1050 Ti NVIDIA GeForce GV-N105TOC-4GL LP700000타입,70000,0,OUTOFSTOCK
11289395810,11342504749,셋탑박스 아답타 화이트 어댑터 5V 2A  전원일체형 외경 5.5mm 내경 2.1mm~2.5mm,2500,100,SALE
11289366239,11342474986,ASRock IMB-1225 Mini-ITX 마더보드 10세대 메인보드,100000,1,SUSPENSION
11289258186,11342366452,ASRock IMB-194-L Mini-ITX 마더보드 6세대 7세대 메인보드,60000,7,SALE
11289033855,11342141056,KT 셋탑박스 아답타 어댑터 5V 2A  전원일체형 외경 5.5mm 내경 2.1mm,1800,98,SALE
11288883605,11341990090,큐센 유선 미니키보드 저소음 무소음 멤브레인 사무용 GP-K7000 블랙,9000,0,OUTOFSTOCK
11280853846,11333931476,DELL 정품 아답타 19.5V 3.34A 노트북 어댑터 충전기 가정용 차량용 콤보 DA65NS3-00,15000,10,SALE
11280767515,11333844921,Dell PS2타입 키보드 마우스 전원 분배 케이블 Y자 케이블 DP/N 0D4002,1000,50,SALE
11239716844,11292681693,폴리컴 CX500 CX600 아답타 어댑터 SPA12A24B,10000,28,SALE
11191403165,11244231519,앱코 파워 서플라이 80PLUS Bronze 시리즈 TN600W,40000,6,SALE
11191086790,11243913423,앱코 파워 서플라이 ABKONCORE MT 500W 80PLUS 스탠다드 230V EU,30000,1,SALE
11190914429,11243740112,앱코 파워 서플라이 SUITMASTER SETTLER 700W 80PLUS 스탠다드 230V EU,50000,13,SALE
11190437075,11243260332,앱코 파워 서플라이 ATX 파워 PC 파워 XP-700N,35000,0,OUTOFSTOCK
